skill=1 levels=30
    level=19 adena=554040 sp=1432602
    level=20 adena=554040 sp=1432602
    level=21 adena=554040 sp=1432602
    level=22 adena=626940 sp=1528794
    level=23 adena=626940 sp=1528794
    level=24 adena=626940 sp=1528794
    level=25 adena=700650 sp=1708536
    level=26 adena=700650 sp=1708536
    level=27 adena=700650 sp=1708536
    level=28 adena=775170 sp=1895081
    level=29 adena=775170 sp=1895081
    level=30 adena=775170 sp=1895081
skill=10 levels=30
    level=1 adena=133650 sp=907164
    level=2 adena=133650 sp=907164
    level=3 adena=133650 sp=907164
    level=4 adena=201690 sp=952146
    level=5 adena=201690 sp=952146
    level=6 adena=201690 sp=952146
    level=7 adena=270540 sp=998586
    level=8 adena=270540 sp=998586
    level=9 adena=270540 sp=998586
    level=10 adena=340200 sp=1071036
    level=11 adena=340200 sp=1071036
    level=12 adena=340200 sp=1071036
    level=13 adena=410670 sp=1281402
    level=14 adena=410670 sp=1281402
    level=15 adena=410670 sp=1281402
    level=16 adena=481950 sp=1370772
    level=17 adena=481950 sp=1370772
    level=18 adena=481950 sp=1370772
    level=19 adena=554040 sp=1432602
    level=20 adena=554040 sp=1432602
    level=21 adena=554040 sp=1432602
    level=22 adena=626940 sp=1528794
    level=23 adena=626940 sp=1528794
    level=24 adena=626940 sp=1528794
    level=25 adena=700650 sp=1708536
    level=26 adena=700650 sp=1708536
    level=27 adena=700650 sp=1708536
    level=28 adena=775170 sp=1895081
    level=29 adena=775170 sp=1895081
    level=30 adena=775170 sp=1895081
skill=13 levels=30
    level=1 adena=74250 sp=503980
    level=2 adena=74250 sp=503980
    level=3 adena=74250 sp=503980
    level=4 adena=112050 sp=528970
    level=5 adena=112050 sp=528970
    level=6 adena=112050 sp=528970
    level=7 adena=150300 sp=554700
    level=8 adena=150300 sp=554700
    level=9 adena=150300 sp=554700
    level=10 adena=189000 sp=595020
    level=11 adena=189000 sp=595020
    level=12 adena=189000 sp=595020
    level=13 adena=228150 sp=622095
    level=14 adena=228150 sp=622095
    level=15 adena=228150 sp=622095
    level=16 adena=267750 sp=666350
    level=17 adena=267750 sp=666350
    level=18 adena=267750 sp=666350
    level=19 adena=307800 sp=696405
    level=20 adena=307800 sp=696405
    level=21 adena=307800 sp=696405
    level=22 adena=348300 sp=743165
    level=23 adena=348300 sp=743165
    level=24 adena=348300 sp=743165
    level=25 adena=389250 sp=775470
    level=26 adena=389250 sp=775470
    level=27 adena=389250 sp=775470
    level=28 adena=430650 sp=825665
    level=29 adena=430650 sp=825665
    level=30 adena=430650 sp=825665
skill=17 levels=30
    level=1 adena=133650 sp=907164
    level=2 adena=133650 sp=907164
    level=3 adena=133650 sp=907164
    level=4 adena=201690 sp=952146
    level=5 adena=201690 sp=952146
    level=6 adena=201690 sp=952146
    level=7 adena=270540 sp=998586
    level=8 adena=270540 sp=998586
    level=9 adena=270540 sp=998586
    level=10 adena=340200 sp=1071036
    level=11 adena=340200 sp=1071036
    level=12 adena=340200 sp=1071036
    level=13 adena=410670 sp=1281402
    level=14 adena=410670 sp=1281402
    level=15 adena=410670 sp=1281402
    level=16 adena=481950 sp=1370772
    level=17 adena=481950 sp=1370772
    level=18 adena=481950 sp=1370772
    level=19 adena=554040 sp=1432602
    level=20 adena=554040 sp=1432602
    level=21 adena=554040 sp=1432602
    level=22 adena=626940 sp=1528794
    level=23 adena=626940 sp=1528794
    level=24 adena=626940 sp=1528794
    level=25 adena=700650 sp=1708536
    level=26 adena=700650 sp=1708536
    level=27 adena=700650 sp=1708536
    level=28 adena=775170 sp=1895081
    level=29 adena=775170 sp=1895081
    level=30 adena=775170 sp=1895081
skill=18 levels=30
    level=1 adena=74250 sp=503980
    level=2 adena=74250 sp=503980
    level=3 adena=74250 sp=503980
    level=4 adena=112050 sp=528970
    level=5 adena=112050 sp=528970
    level=6 adena=112050 sp=528970
    level=7 adena=150300 sp=554700
    level=8 adena=150300 sp=554700
    level=9 adena=150300 sp=554700
    level=10 adena=189000 sp=595020
    level=11 adena=189000 sp=595020
    level=12 adena=189000 sp=595020
    level=13 adena=228150 sp=622095
    level=14 adena=228150 sp=622095
    level=15 adena=228150 sp=622095
    level=16 adena=267750 sp=666350
    level=17 adena=267750 sp=666350
    level=18 adena=267750 sp=666350
    level=19 adena=307800 sp=696405
    level=20 adena=307800 sp=696405
    level=21 adena=307800 sp=696405
    level=22 adena=348300 sp=743165
    level=23 adena=348300 sp=743165
    level=24 adena=348300 sp=743165
    level=25 adena=389250 sp=775470
    level=26 adena=389250 sp=775470
    level=27 adena=389250 sp=775470
    level=28 adena=430650 sp=825665
    level=29 adena=430650 sp=825665
    level=30 adena=430650 sp=825665
skill=19 levels=30
    level=1 adena=133650 sp=907164
    level=2 adena=133650 sp=907164
    level=3 adena=133650 sp=907164
    level=4 adena=201690 sp=952146
    level=5 adena=201690 sp=952146
    level=6 adena=201690 sp=952146
    level=7 adena=270540 sp=998586
    level=8 adena=270540 sp=998586
    level=9 adena=270540 sp=998586
    level=10 adena=340200 sp=1071036
    level=11 adena=340200 sp=1071036
    level=12 adena=340200 sp=1071036
    level=13 adena=410670 sp=1281402
    level=14 adena=410670 sp=1281402
    level=15 adena=410670 sp=1281402
    level=16 adena=481950 sp=1370772
    level=17 adena=481950 sp=1370772
    level=18 adena=481950 sp=1370772
    level=19 adena=554040 sp=1432602
    level=20 adena=554040 sp=1432602
    level=21 adena=554040 sp=1432602
    level=22 adena=626940 sp=1528794
    level=23 adena=626940 sp=1528794
    level=24 adena=626940 sp=1528794
    level=25 adena=700650 sp=1708536
    level=26 adena=700650 sp=1708536
    level=27 adena=700650 sp=1708536
    level=28 adena=775170 sp=1895081
    level=29 adena=775170 sp=1895081
    level=30 adena=775170 sp=1895081
skill=22 levels=30
    level=1 adena=133650 sp=907164
    level=2 adena=133650 sp=907164
    level=3 adena=133650 sp=907164
    level=4 adena=201690 sp=952146
    level=5 adena=201690 sp=952146
    level=6 adena=201690 sp=952146
    level=7 adena=270540 sp=998586
    level=8 adena=270540 sp=998586
    level=9 adena=270540 sp=998586
    level=10 adena=340200 sp=1071036
    level=11 adena=340200 sp=1071036
    level=12 adena=340200 sp=1071036
    level=13 adena=410670 sp=1281402
    level=14 adena=410670 sp=1281402
    level=15 adena=410670 sp=1281402
    level=16 adena=481950 sp=1370772
    level=17 adena=481950 sp=1370772
    level=18 adena=481950 sp=1370772
    level=19 adena=554040 sp=1432602
    level=20 adena=554040 sp=1432602
    level=21 adena=554040 sp=1432602
    level=22 adena=626940 sp=1528794
    level=23 adena=626940 sp=1528794
    level=24 adena=626940 sp=1528794
    level=25 adena=700650 sp=1708536
    level=26 adena=700650 sp=1708536
    level=27 adena=700650 sp=1708536
    level=28 adena=775170 sp=1895081
    level=29 adena=775170 sp=1895081
    level=30 adena=775170 sp=1895081
skill=24 levels=30
    level=1 adena=133650 sp=907164
    level=2 adena=133650 sp=907164
    level=3 adena=133650 sp=907164
    level=4 adena=201690 sp=952146
    level=5 adena=201690 sp=952146
    level=6 adena=201690 sp=952146
    level=7 adena=270540 sp=998586
    level=8 adena=270540 sp=998586
    level=9 adena=270540 sp=998586
    level=10 adena=340200 sp=1071036
    level=11 adena=340200 sp=1071036
    level=12 adena=340200 sp=1071036
    level=13 adena=410670 sp=1281402
    level=14 adena=410670 sp=1281402
    level=15 adena=410670 sp=1281402
    level=16 adena=481950 sp=1370772
    level=17 adena=481950 sp=1370772
    level=18 adena=481950 sp=1370772
    level=19 adena=554040 sp=1432602
    level=20 adena=554040 sp=1432602
    level=21 adena=554040 sp=1432602
    level=22 adena=626940 sp=1528794
    level=23 adena=626940 sp=1528794
    level=24 adena=626940 sp=1528794
    level=25 adena=700650 sp=1708536
    level=26 adena=700650 sp=1708536
    level=27 adena=700650 sp=1708536
    level=28 adena=775170 sp=1895081
    level=29 adena=775170 sp=1895081
    level=30 adena=775170 sp=1895081
skill=25 levels=30
    level=1 adena=74250 sp=503980
    level=2 adena=74250 sp=503980
    level=3 adena=74250 sp=503980
    level=4 adena=112050 sp=528970
    level=5 adena=112050 sp=528970
    level=6 adena=112050 sp=528970
    level=7 adena=150300 sp=554700
    level=8 adena=150300 sp=554700
    level=9 adena=150300 sp=554700
    level=10 adena=189000 sp=595020
    level=11 adena=189000 sp=595020
    level=12 adena=189000 sp=595020
    level=13 adena=228150 sp=622095
    level=14 adena=228150 sp=622095
    level=15 adena=228150 sp=622095
    level=16 adena=267750 sp=666350
    level=17 adena=267750 sp=666350
    level=18 adena=267750 sp=666350
    level=19 adena=307800 sp=696405
    level=20 adena=307800 sp=696405
    level=21 adena=307800 sp=696405
    level=22 adena=348300 sp=743165
    level=23 adena=348300 sp=743165
    level=24 adena=348300 sp=743165
    level=25 adena=389250 sp=775470
    level=26 adena=389250 sp=775470
    level=27 adena=389250 sp=775470
    level=28 adena=430650 sp=825665
    level=29 adena=430650 sp=825665
    level=30 adena=430650 sp=825665
skill=28 levels=30
    level=1 adena=74250 sp=503980
    level=2 adena=74250 sp=503980
    level=3 adena=74250 sp=503980
    level=4 adena=112050 sp=528970
    level=5 adena=112050 sp=528970
    level=6 adena=112050 sp=528970
    level=7 adena=150300 sp=554700
    level=8 adena=150300 sp=554700
    level=9 adena=150300 sp=554700
    level=10 adena=189000 sp=595020
    level=11 adena=189000 sp=595020
    level=12 adena=189000 sp=595020
    level=13 adena=228150 sp=622095
    level=14 adena=228150 sp=622095
    level=15 adena=228150 sp=622095
    level=16 adena=267750 sp=666350
    level=17 adena=267750 sp=666350
    level=18 adena=267750 sp=666350
    level=19 adena=307800 sp=696405
    level=20 adena=307800 sp=696405
    level=21 adena=307800 sp=696405
    level=22 adena=348300 sp=743165
    level=23 adena=348300 sp=743165
    level=24 adena=348300 sp=743165
    level=25 adena=389250 sp=775470
    level=26 adena=389250 sp=775470
    level=27 adena=389250 sp=775470
    level=28 adena=430650 sp=825665
    level=29 adena=430650 sp=825665
    level=30 adena=430650 sp=825665
skill=30 levels=30
    level=1 adena=133650 sp=907164
    level=2 adena=133650 sp=907164
    level=3 adena=133650 sp=907164
    level=4 adena=201690 sp=952146
    level=5 adena=201690 sp=952146
    level=6 adena=201690 sp=952146
    level=7 adena=270540 sp=998586
    level=8 adena=270540 sp=998586
    level=9 adena=270540 sp=998586
    level=10 adena=340200 sp=1071036
    level=11 adena=340200 sp=1071036
    level=12 adena=340200 sp=1071036
    level=13 adena=410670 sp=1281402
    level=14 adena=410670 sp=1281402
    level=15 adena=410670 sp=1281402
    level=16 adena=481950 sp=1370772
    level=17 adena=481950 sp=1370772
    level=18 adena=481950 sp=1370772
    level=19 adena=554040 sp=1432602
    level=20 adena=554040 sp=1432602
    level=21 adena=554040 sp=1432602
    level=22 adena=626940 sp=1528794
    level=23 adena=626940 sp=1528794
    level=24 adena=626940 sp=1528794
    level=25 adena=700650 sp=1708536
    level=26 adena=700650 sp=1708536
    level=27 adena=700650 sp=1708536
    level=28 adena=775170 sp=1895081
    level=29 adena=775170 sp=1895081
    level=30 adena=775170 sp=1895081
skill=33 levels=30
    level=1 adena=133650 sp=907164
    level=2 adena=133650 sp=907164
    level=3 adena=133650 sp=907164
    level=4 adena=201690 sp=952146
    level=5 adena=201690 sp=952146
    level=6 adena=201690 sp=952146
    level=7 adena=270540 sp=998586
    level=8 adena=270540 sp=998586
    level=9 adena=270540 sp=998586
    level=10 adena=340200 sp=1071036
    level=11 adena=340200 sp=1071036
    level=12 adena=340200 sp=1071036
    level=13 adena=410670 sp=1281402
    level=14 adena=410670 sp=1281402
    level=15 adena=410670 sp=1281402
    level=16 adena=481950 sp=1370772
    level=17 adena=481950 sp=1370772
    level=18 adena=481950 sp=1370772
    level=19 adena=554040 sp=1432602
    level=20 adena=554040 sp=1432602
    level=21 adena=554040 sp=1432602
    level=22 adena=626940 sp=1528794
    level=23 adena=626940 sp=1528794
    level=24 adena=626940 sp=1528794
    level=25 adena=700650 sp=1708536
    level=26 adena=700650 sp=1708536
    level=27 adena=700650 sp=1708536
    level=28 adena=775170 sp=1895081
    level=29 adena=775170 sp=1895081
    level=30 adena=775170 sp=1895081
skill=35 levels=30
    level=1 adena=133650 sp=907164
    level=2 adena=133650 sp=907164
    level=3 adena=133650 sp=907164
    level=4 adena=201690 sp=952146
    level=5 adena=201690 sp=952146
    level=6 adena=201690 sp=952146
    level=7 adena=270540 sp=998586
    level=8 adena=270540 sp=998586
    level=9 adena=270540 sp=998586
    level=10 adena=340200 sp=1071036
    level=11 adena=340200 sp=1071036
    level=12 adena=340200 sp=1071036
    level=13 adena=410670 sp=1281402
    level=14 adena=410670 sp=1281402
    level=15 adena=410670 sp=1281402
    level=16 adena=481950 sp=1370772
    level=17 adena=481950 sp=1370772
    level=18 adena=481950 sp=1370772
    level=19 adena=554040 sp=1432602
    level=20 adena=554040 sp=1432602
    level=21 adena=554040 sp=1432602
    level=22 adena=626940 sp=1528794
    level=23 adena=626940 sp=1528794
    level=24 adena=626940 sp=1528794
    level=25 adena=700650 sp=1708536
    level=26 adena=700650 sp=1708536
    level=27 adena=700650 sp=1708536
    level=28 adena=775170 sp=1895081
    level=29 adena=775170 sp=1895081
    level=30 adena=775170 sp=1895081
skill=36 levels=30
    level=1 adena=133650 sp=907164
    level=2 adena=133650 sp=907164
    level=3 adena=133650 sp=907164
    level=4 adena=201690 sp=952146
    level=5 adena=201690 sp=952146
    level=6 adena=201690 sp=952146
    level=7 adena=270540 sp=998586
    level=8 adena=270540 sp=998586
    level=9 adena=270540 sp=998586
    level=10 adena=340200 sp=1071036
    level=11 adena=340200 sp=1071036
    level=12 adena=340200 sp=1071036
    level=13 adena=410670 sp=1281402
    level=14 adena=410670 sp=1281402
    level=15 adena=410670 sp=1281402
    level=16 adena=481950 sp=1370772
    level=17 adena=481950 sp=1370772
    level=18 adena=481950 sp=1370772
    level=19 adena=554040 sp=1432602
    level=20 adena=554040 sp=1432602
    level=21 adena=554040 sp=1432602
    level=22 adena=626940 sp=1528794
    level=23 adena=626940 sp=1528794
    level=24 adena=626940 sp=1528794
    level=25 adena=700650 sp=1708536
    level=26 adena=700650 sp=1708536
    level=27 adena=700650 sp=1708536
    level=28 adena=775170 sp=1895081
    level=29 adena=775170 sp=1895081
    level=30 adena=775170 sp=1895081
skill=42 levels=30
    level=1 adena=133650 sp=907164
    level=2 adena=133650 sp=907164
    level=3 adena=133650 sp=907164
    level=4 adena=201690 sp=952146
    level=5 adena=201690 sp=952146
    level=6 adena=201690 sp=952146
    level=7 adena=270540 sp=998586
    level=8 adena=270540 sp=998586
    level=9 adena=270540 sp=998586
    level=10 adena=340200 sp=1071036
    level=11 adena=340200 sp=1071036
    level=12 adena=340200 sp=1071036
    level=13 adena=410670 sp=1281402
    level=14 adena=410670 sp=1281402
    level=15 adena=410670 sp=1281402
    level=16 adena=481950 sp=1370772
    level=17 adena=481950 sp=1370772
    level=18 adena=481950 sp=1370772
    level=19 adena=554040 sp=1432602
    level=20 adena=554040 sp=1432602
    level=21 adena=554040 sp=1432602
    level=22 adena=626940 sp=1528794
    level=23 adena=626940 sp=1528794
    level=24 adena=626940 sp=1528794
    level=25 adena=700650 sp=1708536
    level=26 adena=700650 sp=1708536
    level=27 adena=700650 sp=1708536
    level=28 adena=775170 sp=1895081
    level=29 adena=775170 sp=1895081
    level=30 adena=775170 sp=1895081
skill=46 levels=30
    level=1 adena=133650 sp=907164
    level=2 adena=133650 sp=907164
    level=3 adena=133650 sp=907164
    level=4 adena=201690 sp=952146
    level=5 adena=201690 sp=952146
    level=6 adena=201690 sp=952146
    level=7 adena=270540 sp=998586
    level=8 adena=270540 sp=998586
    level=9 adena=270540 sp=998586
    level=10 adena=340200 sp=1071036
    level=11 adena=340200 sp=1071036
    level=12 adena=340200 sp=1071036
    level=13 adena=410670 sp=1281402
    level=14 adena=410670 sp=1281402
    level=15 adena=410670 sp=1281402
    level=16 adena=481950 sp=1370772
    level=17 adena=481950 sp=1370772
    level=18 adena=481950 sp=1370772
    level=19 adena=554040 sp=1432602
    level=20 adena=554040 sp=1432602
    level=21 adena=554040 sp=1432602
    level=22 adena=626940 sp=1528794
    level=23 adena=626940 sp=1528794
    level=24 adena=626940 sp=1528794
    level=25 adena=700650 sp=1708536
    level=26 adena=700650 sp=1708536
    level=27 adena=700650 sp=1708536
    level=28 adena=775170 sp=1895081
    level=29 adena=775170 sp=1895081
    level=30 adena=775170 sp=1895081
skill=48 levels=30
    level=1 adena=133650 sp=907164
    level=2 adena=133650 sp=907164
    level=3 adena=133650 sp=907164
    level=4 adena=201690 sp=952146
    level=5 adena=201690 sp=952146
    level=6 adena=201690 sp=952146
    level=7 adena=270540 sp=998586
    level=8 adena=270540 sp=998586
    level=9 adena=270540 sp=998586
    level=10 adena=340200 sp=1071036
    level=11 adena=340200 sp=1071036
    level=12 adena=340200 sp=1071036
    level=13 adena=410670 sp=1281402
    level=14 adena=410670 sp=1281402
    level=15 adena=410670 sp=1281402
    level=16 adena=481950 sp=1370772
    level=17 adena=481950 sp=1370772
    level=18 adena=481950 sp=1370772
    level=19 adena=554040 sp=1432602
    level=20 adena=554040 sp=1432602
    level=21 adena=554040 sp=1432602
    level=22 adena=626940 sp=1528794
    level=23 adena=626940 sp=1528794
    level=24 adena=626940 sp=1528794
    level=25 adena=700650 sp=1708536
    level=26 adena=700650 sp=1708536
    level=27 adena=700650 sp=1708536
    level=28 adena=775170 sp=1895081
    level=29 adena=775170 sp=1895081
    level=30 adena=775170 sp=1895081
skill=49 levels=30
    level=1 adena=133650 sp=907164
    level=2 adena=133650 sp=907164
    level=3 adena=133650 sp=907164
    level=4 adena=201690 sp=952146
    level=5 adena=201690 sp=952146
    level=6 adena=201690 sp=952146
    level=7 adena=270540 sp=998586
    level=8 adena=270540 sp=998586
    level=9 adena=270540 sp=998586
    level=10 adena=340200 sp=1071036
    level=11 adena=340200 sp=1071036
    level=12 adena=340200 sp=1071036
    level=13 adena=410670 sp=1281402
    level=14 adena=410670 sp=1281402
    level=15 adena=410670 sp=1281402
    level=16 adena=481950 sp=1370772
    level=17 adena=481950 sp=1370772
    level=18 adena=481950 sp=1370772
    level=19 adena=554040 sp=1432602
    level=20 adena=554040 sp=1432602
    level=21 adena=554040 sp=1432602
    level=22 adena=626940 sp=1528794
    level=23 adena=626940 sp=1528794
    level=24 adena=626940 sp=1528794
    level=25 adena=700650 sp=1708536
    level=26 adena=700650 sp=1708536
    level=27 adena=700650 sp=1708536
    level=28 adena=775170 sp=1895081
    level=29 adena=775170 sp=1895081
    level=30 adena=775170 sp=1895081
skill=51 levels=30
    level=1 adena=74250 sp=503980
    level=2 adena=74250 sp=503980
    level=3 adena=74250 sp=503980
    level=4 adena=112050 sp=528970
    level=5 adena=112050 sp=528970
    level=6 adena=112050 sp=528970
    level=7 adena=150300 sp=554700
    level=8 adena=150300 sp=554700
    level=9 adena=150300 sp=554700
    level=10 adena=189000 sp=595020
    level=11 adena=189000 sp=595020
    level=12 adena=189000 sp=595020
    level=13 adena=228150 sp=622095
    level=14 adena=228150 sp=622095
    level=15 adena=228150 sp=622095
    level=16 adena=267750 sp=666350
    level=17 adena=267750 sp=666350
    level=18 adena=267750 sp=666350
    level=19 adena=307800 sp=696405
    level=20 adena=307800 sp=696405
    level=21 adena=307800 sp=696405
    level=22 adena=348300 sp=743165
    level=23 adena=348300 sp=743165
    level=24 adena=348300 sp=743165
    level=25 adena=389250 sp=775470
    level=26 adena=389250 sp=775470
    level=27 adena=389250 sp=775470
    level=28 adena=430650 sp=825665
    level=29 adena=430650 sp=825665
    level=30 adena=430650 sp=825665
skill=54 levels=30
    level=1 adena=133650 sp=907164
    level=2 adena=133650 sp=907164
    level=3 adena=133650 sp=907164
    level=4 adena=201690 sp=952146
    level=5 adena=201690 sp=952146
    level=6 adena=201690 sp=952146
    level=7 adena=270540 sp=998586
    level=8 adena=270540 sp=998586
    level=9 adena=270540 sp=998586
    level=10 adena=340200 sp=1071036
    level=11 adena=340200 sp=1071036
    level=12 adena=340200 sp=1071036
    level=13 adena=410670 sp=1281402
    level=14 adena=410670 sp=1281402
    level=15 adena=410670 sp=1281402
    level=16 adena=481950 sp=1370772
    level=17 adena=481950 sp=1370772
    level=18 adena=481950 sp=1370772
    level=19 adena=554040 sp=1432602
    level=20 adena=554040 sp=1432602
    level=21 adena=554040 sp=1432602
    level=22 adena=626940 sp=1528794
    level=23 adena=626940 sp=1528794
    level=24 adena=626940 sp=1528794
    level=25 adena=700650 sp=1708536
    level=26 adena=700650 sp=1708536
    level=27 adena=700650 sp=1708536
    level=28 adena=775170 sp=1895081
    level=29 adena=775170 sp=1895081
    level=30 adena=775170 sp=1895081
skill=58 levels=30
    level=1 adena=133650 sp=907164
    level=2 adena=133650 sp=907164
    level=3 adena=133650 sp=907164
    level=4 adena=201690 sp=952146
    level=5 adena=201690 sp=952146
    level=6 adena=201690 sp=952146
    level=7 adena=270540 sp=998586
    level=8 adena=270540 sp=998586
    level=9 adena=270540 sp=998586
    level=10 adena=340200 sp=1071036
    level=11 adena=340200 sp=1071036
    level=12 adena=340200 sp=1071036
    level=13 adena=410670 sp=1281402
    level=14 adena=410670 sp=1281402
    level=15 adena=410670 sp=1281402
    level=16 adena=481950 sp=1370772
    level=17 adena=481950 sp=1370772
    level=18 adena=481950 sp=1370772
    level=19 adena=554040 sp=1432602
    level=20 adena=554040 sp=1432602
    level=21 adena=554040 sp=1432602
    level=22 adena=626940 sp=1528794
    level=23 adena=626940 sp=1528794
    level=24 adena=626940 sp=1528794
    level=25 adena=700650 sp=1708536
    level=26 adena=700650 sp=1708536
    level=27 adena=700650 sp=1708536
    level=28 adena=775170 sp=1895081
    level=29 adena=775170 sp=1895081
    level=30 adena=775170 sp=1895081
skill=67 levels=30
    level=1 adena=133650 sp=907164
    level=2 adena=133650 sp=907164
    level=3 adena=133650 sp=907164
    level=4 adena=201690 sp=952146
    level=5 adena=201690 sp=952146
    level=6 adena=201690 sp=952146
    level=7 adena=270540 sp=998586
    level=8 adena=270540 sp=998586
    level=9 adena=270540 sp=998586
    level=10 adena=340200 sp=1071036
    level=11 adena=340200 sp=1071036
    level=12 adena=340200 sp=1071036
    level=13 adena=410670 sp=1281402
    level=14 adena=410670 sp=1281402
    level=15 adena=410670 sp=1281402
    level=16 adena=481950 sp=1370772
    level=17 adena=481950 sp=1370772
    level=18 adena=481950 sp=1370772
    level=19 adena=554040 sp=1432602
    level=20 adena=554040 sp=1432602
    level=21 adena=554040 sp=1432602
    level=22 adena=626940 sp=1528794
    level=23 adena=626940 sp=1528794
    level=24 adena=626940 sp=1528794
    level=25 adena=700650 sp=1708536
    level=26 adena=700650 sp=1708536
    level=27 adena=700650 sp=1708536
    level=28 adena=775170 sp=1895081
    level=29 adena=775170 sp=1895081
    level=30 adena=775170 sp=1895081
skill=69 levels=30
    level=1 adena=133650 sp=907164
